Dataset 0,,Dataset 1,
X,Y,X,Y
2.502480844201046,0.8934813067354813,2.5034202742130205,0.30839579973637576
2.564413311290746,0.92306066056303,2.5529378232879942,0.31575484034124246
2.644268632413879,0.9744458058905018,2.638609531591426,0.33012568777552725
2.7127238862634506,1.0013341033334453,2.739212685462081,0.3496817641337987
2.782800512267596,1.0513567102954726,2.8468869030179507,0.3742728295510609
2.839842534793637,1.0861379531165534,2.9301948890001546,0.3964122345840541
2.9115515029939965,1.1342864526008047,3.027651350756515,0.422073465457221
2.9751119242632535,1.1781685531556332,3.1565440497044683,0.4600807997926912
3.076731918041575,1.2618717528899428,3.2602822569492504,0.4988565723995287
3.1608239318841322,1.3434739145879926,3.404881964786477,0.5654004173410062
3.255129469257047,1.45286392543385,3.5424021444001856,0.6474848837534042
3.3588634442326772,1.5917464716697551,3.6673440200950207,0.7414429656893647
3.4484500015014383,1.7302695244468214,3.784417049369544,0.8645654682523876
3.559250807893132,1.935493562677268,3.8622019241087697,0.9619566836236698
3.6614040303405995,2.1649718099860324,3.9305477805724007,1.0842472034221418
3.7541235248489118,2.4215515299904014,4.038164862494722,1.335036306048857
3.852331214379701,2.808808155711401,4.145758666936709,1.7403971311246489
3.951317641434404,3.317721434126521,4.2070006596292,2.103931490264546
4.031444019081811,3.8479708866974947,4.2611641821654604,2.5631915940898473
4.110769439792258,4.628047766836737,4.314522515495607,3.271991066194669
4.183797244004966,5.682846486351809,4.3584608757613434,4.038082257384155
4.243464832573021,6.905572173945456,4.40158769841724,5.303722909476957
4.287415889646212,8.261152152209966,4.432947754764102,6.545133136766926
4.31958959973749,9.529760441553918,4.450212238701203,7.057189991201147
4.3595961819612885,11.791361166759174,,
4.38860944506353,14.141698730662037,,
4.412900553859753,17.181611931365477,,
4.419137860522081,19.511553269316007,,
